time (s),bit3_2_sampled (V),bit2_2_sampled (V),bit1_2_sampled (V),bit0_2_sampled (V)
44.01E-9,280.5E-6,900.0E-3,-270.4E-6,900.0E-3
44.51E-9,-53.74E-6,899.8E-3,-364.8E-6,900.0E-3
45.01E-9,234.3E-6,900.0E-3,-300.4E-6,900.2E-3
45.51E-9,-51.72E-6,900.0E-3,211.0E-6,899.9E-3
46.01E-9,-79.16E-6,900.0E-3,900.0E-3,-130.0E-6
46.51E-9,-125.9E-6,899.8E-3,899.9E-3,-103.5E-6
47.01E-9,133.1E-6,899.9E-3,899.9E-3,899.9E-3
47.51E-9,-32.17E-6,899.9E-3,900.0E-3,899.8E-3
48.01E-9,900.1E-3,65.68E-6,-282.1E-6,-188.0E-6
48.51E-9,900.0E-3,219.8E-6,-116.6E-6,85.03E-6
49.01E-9,899.9E-3,-65.44E-6,-132.8E-6,900.1E-3
49.51E-9,900.0E-3,-97.75E-6,-248.5E-6,900.0E-3
50.01E-9,900.0E-3,-29.93E-6,899.8E-3,83.16E-6
50.51E-9,900.1E-3,-51.12E-6,900.1E-3,-205.0E-6
51.01E-9,900.0E-3,80.32E-6,899.9E-3,899.9E-3
51.51E-9,900.0E-3,-45.01E-6,899.9E-3,900.0E-3
52.01E-9,900.1E-3,180.7E-6,900.1E-3,899.9E-3
52.51E-9,900.0E-3,-243.3E-6,899.8E-3,900.0E-3
53.01E-9,899.9E-3,238.7E-6,900.1E-3,900.1E-3
53.51E-9,900.0E-3,-316.7E-6,899.9E-3,899.7E-3
54.01E-9,900.1E-3,-25.82E-6,900.0E-3,899.9E-3
54.51E-9,900.1E-3,123.8E-6,899.9E-3,900.1E-3
55.01E-9,900.0E-3,78.78E-6,899.9E-3,-53.86E-6
55.51E-9,900.0E-3,45.56E-6,899.9E-3,-17.72E-6
56.01E-9,900.0E-3,8.579E-6,900.0E-3,198.8E-6
56.51E-9,900.0E-3,-166.5E-6,899.9E-3,366.5E-6
57.01E-9,900.0E-3,-36.60E-6,282.6E-6,900.0E-3
57.51E-9,900.0E-3,-92.15E-6,-46.62E-6,899.7E-3
58.01E-9,899.9E-3,79.82E-6,155.8E-6,-380.7E-6
58.51E-9,900.0E-3,-114.2E-6,-129.1E-6,-246.7E-6
59.01E-9,-85.94E-6,900.1E-3,899.8E-3,900.1E-3
59.51E-9,-48.03E-6,899.8E-3,899.9E-3,900.0E-3
60.01E-9,-98.58E-6,900.0E-3,900.0E-3,-103.2E-6
60.51E-9,7.600E-6,900.0E-3,900.0E-3,-18.19E-6
61.01E-9,-90.11E-6,900.1E-3,177.8E-6,899.9E-3
61.51E-9,224.4E-6,900.1E-3,-125.8E-6,899.8E-3
62.01E-9,-75.37E-6,900.0E-3,-110.6E-6,899.9E-3
62.51E-9,78.89E-6,900.0E-3,-36.32E-6,899.9E-3
63.01E-9,-231.3E-6,899.9E-3,61.09E-6,99.59E-6
63.51E-9,-168.5E-6,900.1E-3,-119.8E-6,202.6E-6
64.01E-9,-149.1E-6,900.1E-3,6.767E-6,-155.1E-6
64.51E-9,48.80E-6,899.9E-3,-37.77E-6,52.96E-6
65.01E-9,-169.3E-6,900.0E-3,-300.5E-6,18.72E-6
65.51E-9,-252.9E-6,900.0E-3,330.8E-6,135.7E-6
66.01E-9,-47.96E-6,900.0E-3,-84.18E-6,147.3E-6
66.51E-9,-40.16E-6,900.0E-3,61.91E-6,-65.37E-6
67.01E-9,106.2E-6,899.9E-3,-284.4E-6,899.8E-3
67.51E-9,69.41E-6,900.0E-3,-34.51E-6,899.9E-3
68.01E-9,87.99E-6,899.9E-3,197.0E-6,900.1E-3
68.51E-9,-173.4E-6,900.1E-3,141.0E-6,899.9E-3
69.01E-9,50.17E-6,899.9E-3,900.1E-3,107.1E-6
69.51E-9,114.1E-6,900.0E-3,900.1E-3,56.50E-6
70.01E-9,315.7E-6,899.8E-3,900.0E-3,899.9E-3
70.51E-9,201.5E-6,900.0E-3,900.1E-3,900.1E-3
71.01E-9,899.9E-3,-82.78E-6,90.19E-6,-40.18E-6
71.51E-9,900.0E-3,-118.7E-6,-14.54E-6,140.5E-6
72.01E-9,900.0E-3,-118.8E-6,-82.65E-6,900.1E-3
72.51E-9,900.0E-3,73.94E-6,-123.0E-6,899.9E-3
73.01E-9,900.0E-3,130.1E-6,899.8E-3,-25.40E-6
73.51E-9,900.0E-3,175.7E-6,900.1E-3,-69.10E-6
74.01E-9,900.0E-3,-55.34E-6,899.9E-3,-122.7E-6
74.51E-9,900.0E-3,-185.8E-6,900.0E-3,-39.05E-6
75.01E-9,900.0E-3,-6.698E-6,900.0E-3,899.9E-3
75.51E-9,899.9E-3,-27.80E-6,900.0E-3,900.1E-3
76.01E-9,900.0E-3,-90.88E-6,900.1E-3,900.0E-3
76.51E-9,900.0E-3,-208.0E-6,899.9E-3,900.0E-3
77.01E-9,900.0E-3,-119.6E-6,900.0E-3,900.1E-3
77.51E-9,900.1E-3,-19.59E-6,900.0E-3,899.8E-3
78.01E-9,900.0E-3,133.3E-6,900.2E-3,900.1E-3
78.51E-9,900.0E-3,56.89E-6,899.8E-3,899.9E-3
79.01E-9,899.8E-3,-119.9E-6,900.1E-3,100.6E-6
79.51E-9,900.1E-3,-44.97E-6,900.0E-3,176.6E-6
80.01E-9,900.0E-3,-174.9E-6,-115.1E-6,900.0E-3
80.51E-9,900.2E-3,-24.27E-6,-212.5E-6,899.9E-3
81.01E-9,900.0E-3,141.2E-6,-89.20E-6,158.8E-6
81.51E-9,900.1E-3,79.40E-6,-63.40E-6,62.09E-6
82.01E-9,358.9E-6,899.8E-3,900.0E-3,899.8E-3
82.51E-9,6.468E-6,899.9E-3,900.0E-3,900.0E-3
83.01E-9,325.2E-6,900.0E-3,900.0E-3,39.76E-6
83.51E-9,-217.1E-6,900.2E-3,899.9E-3,-11.62E-6
84.01E-9,-183.9E-6,900.1E-3,180.8E-6,899.9E-3
84.51E-9,-192.0E-6,899.9E-3,-5.607E-6,900.0E-3
85.01E-9,-250.5E-6,899.9E-3,129.3E-6,900.0E-3
85.51E-9,-39.75E-6,900.1E-3,-266.8E-6,899.9E-3
86.01E-9,42.71E-6,900.0E-3,98.67E-6,5.415E-6
86.51E-9,144.8E-6,900.1E-3,207.7E-6,-207.7E-6
87.01E-9,-13.20E-6,900.0E-3,110.7E-6,334.1E-6
87.51E-9,-55.90E-6,900.1E-3,-121.7E-6,-238.7E-6
88.01E-9,-18.71E-6,900.0E-3,20.87E-6,160.6E-6
88.51E-9,-146.3E-6,899.9E-3,-50.43E-6,-172.6E-6
89.01E-9,68.52E-6,900.1E-3,16.82E-6,-281.9E-6
89.51E-9,-106.0E-9,899.9E-3,-139.1E-6,257.7E-6
90.01E-9,-91.02E-6,899.9E-3,-149.4E-6,-54.96E-6
90.51E-9,16.94E-6,900.1E-3,-163.4E-6,-160.6E-6
91.01E-9,-110.9E-6,900.0E-3,-177.1E-6,900.0E-3
91.51E-9,-13.23E-6,900.0E-3,24.67E-6,900.0E-3
92.01E-9,108.0E-6,900.0E-3,899.8E-3,53.15E-6
92.51E-9,-804.5E-9,900.1E-3,899.9E-3,-492.5E-6
93.01E-9,184.7E-6,900.0E-3,899.9E-3,900.1E-3
93.51E-9,1.770E-6,900.0E-3,900.2E-3,900.0E-3
94.01E-9,899.9E-3,-137.9E-6,-71.66E-6,71.07E-6
94.51E-9,900.0E-3,-20.04E-6,-219.9E-6,-314.0E-6
95.01E-9,899.9E-3,-46.23E-6,234.4E-6,900.1E-3
95.51E-9,899.9E-3,5.459E-6,36.68E-6,900.1E-3
96.01E-9,900.2E-3,-93.23E-6,900.0E-3,-96.98E-6
96.51E-9,900.0E-3,-103.5E-6,900.2E-3,-202.1E-6
97.01E-9,900.0E-3,27.46E-6,900.1E-3,114.7E-6
97.51E-9,899.8E-3,-332.0E-6,899.9E-3,-255.7E-6
98.01E-9,900.0E-3,150.7E-6,900.1E-3,900.2E-3
98.51E-9,900.1E-3,16.01E-6,900.0E-3,900.0E-3
99.01E-9,900.0E-3,129.3E-6,900.0E-3,899.9E-3
99.51E-9,899.9E-3,-30.07E-6,900.0E-3,900.0E-3
