time (s),bit3_2_sampled (V),bit2_2_sampled (V),bit1_2_sampled (V),bit0_2_sampled (V)
191.0E-9,899.8E-3,97.81E-6,900.0E-3,900.0E-3
191.5E-9,900.0E-3,54.02E-6,900.2E-3,899.8E-3
192.0E-9,900.0E-3,130.6E-6,899.9E-3,899.9E-3
192.5E-9,900.0E-3,-77.16E-6,899.9E-3,899.9E-3
193.0E-9,900.0E-3,88.44E-6,900.0E-3,899.9E-3
193.5E-9,900.0E-3,138.5E-6,899.8E-3,900.1E-3
194.0E-9,900.0E-3,-241.6E-6,900.1E-3,899.9E-3
194.5E-9,899.9E-3,179.0E-6,899.9E-3,900.0E-3
195.0E-9,899.9E-3,98.58E-6,900.1E-3,2.043E-6
195.5E-9,899.8E-3,76.08E-6,899.9E-3,-102.9E-6
196.0E-9,899.9E-3,-67.86E-6,119.7E-6,899.7E-3
196.5E-9,900.0E-3,-126.0E-6,-13.32E-6,899.9E-3
197.0E-9,900.1E-3,-29.60E-6,-279.0E-6,900.1E-3
197.5E-9,899.8E-3,138.6E-6,-23.59E-6,899.8E-3
198.0E-9,900.1E-3,-102.9E-6,-107.1E-6,-23.00E-6
198.5E-9,900.0E-3,-75.00E-6,20.73E-6,104.4E-6
199.0E-9,-134.6E-6,900.0E-3,900.0E-3,900.1E-3
199.5E-9,36.72E-6,900.2E-3,900.0E-3,899.9E-3
200.0E-9,130.9E-6,900.1E-3,900.0E-3,26.38E-6
200.5E-9,100.6E-6,899.9E-3,900.0E-3,-216.4E-6
201.0E-9,-67.29E-6,900.0E-3,-2.989E-6,899.8E-3
201.5E-9,295.1E-6,899.9E-3,144.1E-6,899.9E-3
202.0E-9,-25.46E-6,900.0E-3,-153.0E-6,-65.01E-6
202.5E-9,-191.8E-6,900.0E-3,26.10E-6,-285.9E-6
203.0E-9,-167.5E-6,899.8E-3,-10.68E-6,-177.0E-6
203.5E-9,103.4E-6,900.0E-3,-50.90E-6,-135.4E-6
204.0E-9,-30.59E-6,900.0E-3,55.58E-6,4.739E-6
204.5E-9,106.9E-6,900.0E-3,-73.72E-6,-165.3E-6
205.0E-9,130.9E-6,900.2E-3,-161.1E-6,-55.91E-6
205.5E-9,69.23E-6,900.0E-3,47.62E-6,-376.2E-6
206.0E-9,48.48E-6,900.1E-3,137.7E-6,6.333E-6
206.5E-9,-64.81E-6,900.1E-3,96.86E-6,-254.7E-6
207.0E-9,-144.2E-6,899.9E-3,68.95E-6,899.9E-3
207.5E-9,68.89E-6,900.1E-3,53.66E-6,899.9E-3
208.0E-9,24.59E-6,900.0E-3,900.1E-3,17.68E-6
208.5E-9,76.42E-6,899.9E-3,900.0E-3,-165.5E-6
209.0E-9,170.6E-6,899.9E-3,899.8E-3,-16.04E-6
209.5E-9,269.6E-6,900.0E-3,899.8E-3,9.264E-6
210.0E-9,97.82E-6,900.0E-3,900.0E-3,900.0E-3
210.5E-9,-44.61E-6,900.0E-3,900.1E-3,899.7E-3
211.0E-9,899.9E-3,-33.84E-6,-5.636E-6,167.3E-6
211.5E-9,899.9E-3,152.1E-6,196.7E-6,-133.6E-6
212.0E-9,900.1E-3,-104.9E-6,45.55E-6,900.0E-3
212.5E-9,900.1E-3,-69.05E-6,-16.61E-6,900.0E-3
213.0E-9,900.0E-3,93.24E-6,900.0E-3,181.2E-6
213.5E-9,899.9E-3,264.2E-6,899.8E-3,27.69E-6
214.0E-9,900.1E-3,290.8E-6,900.2E-3,900.0E-3
214.5E-9,900.0E-3,-307.5E-6,899.9E-3,900.1E-3
215.0E-9,900.0E-3,105.1E-6,899.8E-3,900.1E-3
215.5E-9,900.0E-3,92.38E-6,900.1E-3,899.9E-3
216.0E-9,900.0E-3,6.038E-6,900.2E-3,900.1E-3
216.5E-9,900.1E-3,-15.52E-6,900.0E-3,900.1E-3
217.0E-9,899.9E-3,-275.3E-6,900.0E-3,900.0E-3
217.5E-9,899.9E-3,-186.2E-6,900.0E-3,899.8E-3
218.0E-9,899.9E-3,-122.1E-6,900.1E-3,-189.3E-6
218.5E-9,899.9E-3,-17.56E-6,900.0E-3,-117.3E-6
219.0E-9,900.0E-3,54.93E-6,900.0E-3,-217.7E-6
219.5E-9,899.9E-3,70.07E-6,900.0E-3,-343.2E-6
220.0E-9,900.0E-3,39.20E-6,-214.4E-6,899.9E-3
220.5E-9,899.8E-3,-208.8E-6,116.5E-6,900.0E-3
221.0E-9,899.9E-3,-95.08E-6,147.3E-6,-34.74E-6
221.5E-9,899.8E-3,5.460E-6,8.376E-6,95.35E-6
222.0E-9,-266.9E-6,900.0E-3,900.1E-3,899.9E-3
222.5E-9,66.63E-6,900.0E-3,899.9E-3,900.1E-3
223.0E-9,46.94E-6,899.9E-3,900.0E-3,-274.1E-6
223.5E-9,-122.5E-6,899.9E-3,900.1E-3,-139.1E-6
224.0E-9,-175.7E-6,899.9E-3,-36.71E-6,899.9E-3
224.5E-9,-6.746E-6,900.0E-3,-219.8E-6,900.0E-3
225.0E-9,-134.0E-6,900.1E-3,-6.378E-6,197.4E-6
225.5E-9,76.48E-6,900.0E-3,-42.64E-6,-65.79E-6
226.0E-9,167.8E-6,900.1E-3,-84.88E-6,160.3E-6
226.5E-9,165.4E-6,900.0E-3,-6.593E-6,66.10E-6
227.0E-9,-206.6E-6,900.0E-3,-215.4E-6,-113.0E-6
227.5E-9,-61.13E-6,900.0E-3,-103.2E-6,-295.4E-6
228.0E-9,119.0E-6,899.9E-3,-74.86E-6,124.3E-6
228.5E-9,-231.4E-6,900.0E-3,-40.68E-6,-308.3E-6
229.0E-9,121.1E-6,900.1E-3,123.9E-6,-37.19E-6
229.5E-9,130.8E-6,900.0E-3,-139.2E-6,-141.4E-6
230.0E-9,53.03E-6,900.1E-3,-319.3E-6,900.1E-3
230.5E-9,-154.5E-6,900.1E-3,173.3E-6,899.8E-3
231.0E-9,-35.50E-6,900.1E-3,125.5E-6,899.9E-3
231.5E-9,-208.2E-6,900.1E-3,-109.0E-6,899.9E-3
232.0E-9,-95.24E-6,900.0E-3,899.9E-3,293.0E-6
232.5E-9,166.3E-6,899.9E-3,900.0E-3,-37.45E-6
233.0E-9,79.54E-6,900.0E-3,900.1E-3,900.1E-3
233.5E-9,-172.3E-6,900.0E-3,899.9E-3,899.9E-3
234.0E-9,900.0E-3,234.6E-6,103.0E-6,-258.5E-6
234.5E-9,900.0E-3,106.5E-6,-75.35E-6,-98.24E-6
235.0E-9,899.8E-3,144.1E-6,-107.4E-6,899.9E-3
235.5E-9,899.9E-3,-10.83E-6,-20.63E-6,900.0E-3
236.0E-9,899.9E-3,-11.00E-6,899.9E-3,222.5E-6
236.5E-9,899.9E-3,-200.3E-6,899.9E-3,65.92E-6
237.0E-9,900.0E-3,-101.7E-6,900.1E-3,-153.2E-6
237.5E-9,900.0E-3,-295.3E-6,900.3E-3,90.82E-6
238.0E-9,900.1E-3,52.98E-6,900.1E-3,900.1E-3
238.5E-9,900.0E-3,-162.4E-6,899.8E-3,900.1E-3
239.0E-9,900.2E-3,228.6E-6,900.0E-3,899.9E-3
239.5E-9,900.0E-3,-153.7E-6,900.0E-3,899.9E-3
240.0E-9,899.9E-3,94.38E-6,900.0E-3,899.9E-3
240.5E-9,899.9E-3,121.5E-6,899.9E-3,899.9E-3
241.0E-9,899.9E-3,84.96E-6,900.0E-3,-99.25E-6
241.5E-9,899.9E-3,-7.652E-6,900.0E-3,-153.7E-6
242.0E-9,900.0E-3,194.9E-6,899.9E-3,-109.6E-6
242.5E-9,900.1E-3,81.21E-6,899.9E-3,70.75E-6
243.0E-9,900.0E-3,-9.483E-6,-116.3E-6,900.0E-3
243.5E-9,899.9E-3,-76.39E-6,64.82E-6,900.1E-3
244.0E-9,899.7E-3,-28.21E-6,-128.8E-6,-51.76E-6
244.5E-9,900.0E-3,-93.54E-6,-143.9E-6,-115.8E-6
245.0E-9,-84.04E-6,900.0E-3,900.0E-3,900.0E-3
245.5E-9,-231.9E-6,900.0E-3,900.1E-3,900.1E-3
246.0E-9,-15.06E-6,899.9E-3,900.0E-3,79.56E-6
246.5E-9,-125.7E-6,900.1E-3,899.9E-3,-348.2E-6
247.0E-9,-97.85E-6,899.8E-3,-207.0E-6,900.0E-3
247.5E-9,-206.6E-6,899.8E-3,-4.009E-6,899.9E-3
248.0E-9,-102.9E-6,900.1E-3,101.7E-6,899.9E-3
248.5E-9,-210.9E-6,900.1E-3,-180.1E-6,899.8E-3
249.0E-9,90.27E-6,900.0E-3,-284.9E-6,-38.09E-6
249.5E-9,-198.9E-6,899.9E-3,-236.4E-6,124.5E-6
250.0E-9,-128.7E-6,899.9E-3,58.85E-6,-64.98E-6
250.5E-9,-266.0E-6,900.1E-3,-12.36E-6,93.46E-6
251.0E-9,-71.36E-6,900.0E-3,-12.04E-6,-233.0E-6
251.5E-9,-66.88E-6,899.8E-3,25.41E-6,-56.76E-6
252.0E-9,-124.8E-6,900.0E-3,95.57E-6,-83.03E-6
252.5E-9,-101.1E-6,899.9E-3,64.27E-6,-60.51E-6
253.0E-9,278.9E-6,900.0E-3,-198.6E-6,-32.08E-6
253.5E-9,-165.9E-6,900.0E-3,-126.1E-6,-246.6E-6
254.0E-9,-21.99E-6,899.9E-3,52.29E-6,900.1E-3
254.5E-9,82.46E-6,899.9E-3,19.34E-6,899.9E-3
255.0E-9,13.75E-6,900.1E-3,900.0E-3,56.94E-6
255.5E-9,-213.8E-6,900.0E-3,899.9E-3,-105.0E-9
256.0E-9,-143.8E-6,899.9E-3,900.0E-3,899.9E-3
256.5E-9,-257.2E-6,900.0E-3,900.2E-3,900.1E-3
